sample,strain,timepoint,condition,replicate,fastq_path,raw_reads
1,WT,0,T0,T0,data/1_S88_L001,540134
2,WT,T1,NoATC,1,data/2-ATC-2_S29_L001,589307
3,WT,T1,NoATC,2,data/3-ATC-2_S30_L001,609273
4,WT,T1,NoATC,3,data/4-ATC-2_S31_L001,527666
5,WT,T1,ATC,1,data/5-ATC-2_S34_L001,486977
6,WT,T1,ATC,2,data/6-ATC-2_S35_L001,650280
7,WT,T1,ATC,3,data/7-ATC-2_S36_L001,408841
8,WT,T2,NoATC,1,data/8-ATC-2_S38_L001,526937
9,WT,T2,NoATC,2,data/9-ATC-2_S39_L001,462842
10,WT,T2,NoATC,3,data/10-ATC-2_S40_L001,390809
11,WT,T2,ATC,1,data/11-ATC-2_S41_L001,504087
12,WT,T2,ATC,2,data/12-ATC-2_S42_L001,462173
13,WT,T2,ATC,3,data/13-ATC-2_S43_L001,494292
14,WT,T3,NoATC,1,data/14_S89_L001,659729
15,WT,T3,NoATC,2,data/15_S90_L001,701537
16,WT,T3,NoATC,3,data/16_S91_L001,729434
17,WT,T3,ATC,1,data/17_S92_L001,1029739
18,WT,T3,ATC,2,data/18_S93_L001,633555
19,WT,T3,ATC,3,data/19_S94_L001,815699
