alias,median_log2fc_NoATC_YPD,median_log2fc_NoATC_LAC,median_log2fc_NoATC_GLY,median_log2fc_NoATC_ACE,median_log2fc_NoATC_NACL,median_log2fc_NoATC_SORB,median_log2fc_NoATC_LOPH,median_log2fc_NoATC_SDS,median_log2fc_NoATC_5FC,median_log2fc_NoATC_TUN,median_log2fc_NoATC_MMS
ALR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARO1,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0
ASK1,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
ATP14,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
ATP17,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
ATP4,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0
ATP7,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
AUR1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
BIR1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BUD22,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
C1_00510W,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0
C1_01950C,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
C1_02510W,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
C1_02960C,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
C1_03280W,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0
C1_08920W,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C1_10960W,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
C1_12610W,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
C1_13370W,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_01030W,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
C2_03560C,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0
C2_07680W,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
C2_09680W,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
C3_02670W,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
C3_05800W,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
C3_06520C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C3_07390C,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
C6_01980C,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6_04120C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7_00210C,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
C7_01650W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C7_03000C,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
CHS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLC1,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
CR_00890C,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
CR_01300W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
